#   No  Energy (eV)          osc        osc x        osc y        osc z
    93      4.21790 1.748736e-05 2.847121e-05 1.290479e-05 1.108608e-05
    94      4.25828 8.469956e-03 2.500590e-02 8.662911e-07 4.030996e-04
    95      4.27023 6.588565e-03 1.853593e-04 8.104162e-03 1.147617e-02
    96      4.27396 8.684194e-04 5.915191e-04 1.477723e-03 5.360160e-04
    97      4.27632 2.038612e-03 5.135084e-03 9.503840e-05 8.857141e-04
    98      4.28198 1.925644e-02 4.685801e-02 4.275126e-03 6.636168e-03
    99      4.29039 1.397441e-03 1.425754e-03 3.298043e-04 2.436763e-03
   100      4.29349 2.154054e-02 2.930550e-04 3.797947e-02 2.634909e-02
   101      4.29679 2.058731e-02 3.778322e-05 2.847770e-02 3.324646e-02
   102      4.31643 7.913644e-04 5.616091e-05 1.529585e-03 7.883467e-04
   103      4.31774 3.561951e-04 9.552360e-04 1.093534e-04 3.995999e-06
   104      4.32441 1.032559e-02 1.072099e-02 8.033241e-03 1.222253e-02
   105      4.32650 6.475912e-04 1.778601e-04 8.361714e-04 9.287420e-04
   106      4.33102 5.082430e-03 4.497943e-07 8.450288e-03 6.796553e-03
   107      4.35477 1.566831e-03 3.056852e-04 2.876118e-03 1.518690e-03
   108      4.35788 1.217324e-03 7.089541e-06 1.520566e-03 2.124316e-03
   109      4.36179 3.357509e-05 3.920105e-05 1.102308e-05 5.050114e-05
   110      4.36830 1.354735e-03 2.149682e-03 4.962335e-04 1.418288e-03
   111      4.38131 1.125714e-03 2.468059e-03 3.974782e-04 5.116060e-04
   112      4.38909 9.813347e-04 1.811661e-04 1.496495e-03 1.266343e-03
   113      4.39094 4.052796e-04 9.760747e-06 2.577395e-04 9.483386e-04
   114      4.42321 5.824975e-05 4.723668e-05 6.733785e-05 6.017472e-05
   115      4.42735 1.283300e-04 3.326724e-04 3.719286e-05 1.512467e-05
   116      4.48759 1.426894e-02 3.806805e-02 2.316723e-03 2.422052e-03
   117      4.50084 8.592777e-04 2.107906e-03 7.629394e-06 4.622976e-04
   118      4.51290 4.156760e-04 6.320961e-04 3.687383e-04 2.461936e-04
   119      4.53070 1.729420e-03 5.174858e-03 1.225782e-06 1.217614e-05
   120      4.55736 1.766110e-04 1.611289e-05 3.706088e-04 1.431113e-04
   121      4.56294 3.956344e-04 8.793241e-04 1.971860e-04 1.103932e-04
   122      4.57083 1.621761e-03 5.173068e-05 1.118165e-03 3.695388e-03
   123      4.58449 5.236572e-03 7.906327e-05 1.106214e-02 4.568515e-03
   124      4.59649 6.589947e-03 1.174314e-04 5.648108e-03 1.400430e-02
   125      4.60098 1.232305e-02 2.170560e-04 1.833664e-02 1.841547e-02
   126      4.63004 2.056174e-02 1.731203e-05 3.601300e-02 2.565492e-02
   127      4.64882 9.168021e-03 1.313543e-06 4.499119e-03 2.300363e-02
   128      4.65424 8.744915e-03 1.742299e-05 1.657624e-02 9.641078e-03
   129      4.66648 7.028258e-04 2.572496e-07 1.524232e-04 1.955797e-03
   130      4.67870 8.420994e-03 6.778578e-05 1.497928e-02 1.021592e-02
   131      4.68251 1.146299e-03 1.505331e-04 1.944726e-03 1.343636e-03
   132      4.69764 5.535543e-04 2.508329e-05 7.026876e-04 9.328921e-04
   133      4.71519 2.063050e-03 2.791438e-05 2.861544e-03 3.299692e-03
   134      4.71579 9.556150e-03 4.110450e-03 1.131748e-02 1.324052e-02
   135      4.72741 1.328062e-02 2.887562e-04 2.329304e-03 3.722381e-02
   136      4.72790 1.101990e-02 9.571237e-08 3.148958e-02 1.570021e-03
   137      4.73633 1.152146e-02 1.193330e-09 2.462190e-02 9.942484e-03
   138      4.74368 2.236954e-03 1.222209e-04 5.954967e-03 6.336743e-04
   139      4.74874 7.037941e-04 1.711743e-03 1.802873e-05 3.816112e-04
   140      4.76085 3.816588e-03 2.758993e-03 1.678723e-03 7.012048e-03
   141      4.78665 1.667346e-02 4.231495e-02 2.426904e-03 5.278517e-03
   142      4.80349 8.774291e-04 1.808112e-03 2.619666e-05 7.979784e-04
   143      4.81375 2.249568e-02 5.531972e-02 4.955634e-03 7.211683e-03
   144      4.83405 2.026673e-03 4.067024e-03 4.688409e-04 1.544154e-03
