# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    3.310000     0.0000000000e+00    -0.0000000000e+00     4.2722247474e-01
    3.340000     0.0000000000e+00    -0.0000000000e+00     8.3281406876e-01
    3.370000     0.0000000000e+00    -0.0000000000e+00     1.2923906989e+00
    3.400000     0.0000000000e+00    -0.0000000000e+00     1.5833792541e+00
    3.430000     0.0000000000e+00     0.0000000000e+00     1.5463715425e+00
    3.460000     0.0000000000e+00     0.0000000000e+00     1.2316525093e+00
    3.490000     0.0000000000e+00     0.0000000000e+00     8.4476063141e-01
    3.520000     0.0000000000e+00     0.0000000000e+00     5.7023339928e-01
    3.550000     0.0000000000e+00     0.0000000000e+00     4.8926974750e-01
    3.580000     0.0000000000e+00     0.0000000000e+00     5.9702361844e-01
    3.610000     0.0000000000e+00     0.0000000000e+00     8.0551333632e-01
    3.640000     0.0000000000e+00     0.0000000000e+00     9.6629480921e-01
    3.670000     0.0000000000e+00     0.0000000000e+00     9.8207874157e-01
    3.700000     0.0000000000e+00    -0.0000000000e+00     9.1001507072e-01
    3.730000     0.0000000000e+00    -0.0000000000e+00     9.0853096581e-01
    3.760000     0.0000000000e+00    -0.0000000000e+00     1.0565535873e+00
    3.790000     0.0000000000e+00     0.0000000000e+00     1.2580083180e+00
    3.820000    -0.0000000000e+00     0.0000000000e+00     1.3696826218e+00
    3.850000    -0.0000000000e+00     0.0000000000e+00     1.4018390890e+00
    3.880000    -0.0000000000e+00    -0.0000000000e+00     1.5278962348e+00
    3.910000     0.0000000000e+00    -0.0000000000e+00     1.8755891203e+00
    3.940000     0.0000000000e+00     0.0000000000e+00     2.3402108320e+00
    3.970000     0.0000000000e+00     0.0000000000e+00     2.6393429714e+00
    4.000000     0.0000000000e+00     0.0000000000e+00     2.5611550517e+00
    4.030000     0.0000000000e+00     0.0000000000e+00     2.1426384594e+00
    4.060000     0.0000000000e+00     0.0000000000e+00     1.6034968350e+00
    4.090000     0.0000000000e+00     0.0000000000e+00     1.1434509247e+00
    4.120000     0.0000000000e+00     0.0000000000e+00     8.2700204633e-01
    4.150000     0.0000000000e+00     0.0000000000e+00     6.3099363144e-01
    4.180000    -0.0000000000e+00     0.0000000000e+00     5.4089328471e-01
    4.210000    -0.0000000000e+00     0.0000000000e+00     5.5946889889e-01
