# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        217.04221006      -1.27675648e-15     6.402886250200e-03     1.645368649415e-03     2.061177206812e-03
        218.28245126       3.88578059e-15     6.395200513930e-03     1.596749167792e-03     2.061700341478e-03
        219.52269246       2.55351296e-15     6.388092910068e-03     1.545123145071e-03     2.062233691726e-03
        220.76293366       1.49880108e-15     6.381706608961e-03     1.491277232835e-03     2.062788684711e-03
        222.00317486       3.33066907e-16     6.376142771849e-03     1.435836451138e-03     2.063365334935e-03
        223.24341606      -3.88578059e-15     6.371429873560e-03     1.379517952881e-03     2.063955358800e-03
        224.48365726       1.99840144e-15     6.367588442972e-03     1.323049106226e-03     2.064533080622e-03
        225.72389846       2.94209102e-15     6.364699610932e-03     1.267315573081e-03     2.065108474131e-03
        226.96413966      -1.66533454e-15     6.362805896092e-03     1.213120029849e-03     2.065681771757e-03
        228.20438086       1.77635684e-15     6.361914426307e-03     1.161231272508e-03     2.066227306551e-03
        229.44462206       4.16333634e-15     6.362059975558e-03     1.112362815594e-03     2.066736749311e-03
        230.68486326      -3.94129174e-15     6.363304979974e-03     1.067224175786e-03     2.067216658538e-03
        231.92510446       3.38618023e-15     6.365687282305e-03     1.026617956597e-03     2.067645156433e-03
        233.16534566       2.83106871e-15     6.369155824837e-03     9.911130390066e-04     2.067964040997e-03
        234.40558686       3.99680289e-15     6.373687879373e-03     9.612488094604e-04     2.068167726060e-03
        235.64582806       5.60662627e-15     6.379297495132e-03     9.374470435510e-04     2.068283414811e-03
        236.88606926      -3.66373598e-15     6.385995861351e-03     9.199419875312e-04     2.068311687035e-03
        238.12631046      -8.88178420e-16     6.393739291829e-03     9.089369359092e-04     2.068224046784e-03
        239.36655166      -7.77156117e-16     6.402425392476e-03     9.046487510567e-04     2.068002979209e-03
        240.60679286      -9.43689571e-16     6.411934882546e-03     9.072193044073e-04     2.067636526265e-03
        241.84703406       3.33066907e-16     6.422120376712e-03     9.166185373495e-04     2.067095064911e-03
        243.08727526       3.88578059e-16     6.432756863624e-03     9.326886883532e-04     2.066372744752e-03
        244.32751646      -2.77555756e-16     6.443620348779e-03     9.552835011100e-04     2.065485856514e-03
        245.56775766      -2.22044605e-15     6.454487063767e-03     9.841363667942e-04     2.064439559522e-03
        246.80799886      -5.27355937e-15     6.465175226426e-03     1.018812985679e-03     2.063200800512e-03
        248.04824007      -3.10862447e-15     6.475509044751e-03     1.058841908574e-03     2.061770702083e-03
        249.28848127       3.27515792e-15     6.485289914130e-03     1.103739302604e-03     2.060203477741e-03
        250.52872247       7.88258347e-15     6.494286406310e-03     1.152771447178e-03     2.058551383643e-03
        251.76896367      -3.16413562e-15     6.502320212324e-03     1.205104931344e-03     2.056840085954e-03
        253.00920487      -2.44249065e-15     6.509243482128e-03     1.260047720137e-03     2.055080989020e-03
        254.24944607       2.77555756e-16     6.514931140455e-03     1.316959566106e-03     2.053321653904e-03
        255.48968727      -1.66533454e-16     6.519241020591e-03     1.374776668925e-03     2.051680664032e-03
        256.72992847       9.99200722e-16     6.522091562990e-03     1.432545644033e-03     2.050268269624e-03
        257.97016967       9.43689571e-16     6.523431111962e-03     1.489298624724e-03     2.049066361765e-03
        259.21041087       9.43689571e-16     6.523223119292e-03     1.544142519881e-03     2.048006915206e-03
        260.45065207       1.66533454e-15     6.521475870688e-03     1.596202329560e-03     2.047127060859e-03
        261.69089327       1.60982339e-15     6.518242042388e-03     1.644540049323e-03     2.046535472649e-03
        262.93113447       4.05231404e-15     6.513595501133e-03     1.688154121824e-03     2.046304645463e-03
