# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.690000     0.0000000000e+00     6.0840939399e-01     0.0000000000e+00
    1.720000     0.0000000000e+00     9.1656503578e-01     0.0000000000e+00
    1.750000     0.0000000000e+00     1.1454667923e+00     0.0000000000e+00
    1.780000     0.0000000000e+00     1.1732412306e+00     0.0000000000e+00
    1.810000     0.0000000000e+00     9.8419291188e-01     0.0000000000e+00
    1.840000     0.0000000000e+00     6.7445769336e-01     0.0000000000e+00
    1.870000     0.0000000000e+00     3.7443474138e-01     0.0000000000e+00
    1.900000     0.0000000000e+00     1.6464206046e-01     0.0000000000e+00
    1.930000     0.0000000000e+00     5.4404582039e-02     0.0000000000e+00
    1.960000     0.0000000000e+00     1.6873937158e-02     0.0000000000e+00
    1.990000    -0.0000000000e+00     2.4594160917e-02     0.0000000000e+00
    2.020000    -0.0000000000e+00     5.9992168593e-02     0.0000000000e+00
    2.050000    -0.0000000000e+00     1.0705507164e-01     0.0000000000e+00
    2.080000    -0.0000000000e+00     1.4060269014e-01     0.0000000000e+00
    2.110000    -0.0000000000e+00     1.3796586467e-01     0.0000000000e+00
    2.140000     0.0000000000e+00     1.0170680766e-01     0.0000000000e+00
    2.170000     0.0000000000e+00     5.4384187021e-02     0.0000000000e+00
    2.200000     0.0000000000e+00     1.5906383585e-02    -0.0000000000e+00
    2.230000     0.0000000000e+00    -4.2903808556e-03    -0.0000000000e+00
    2.260000     0.0000000000e+00    -2.3530566327e-03     0.0000000000e+00
    2.290000     0.0000000000e+00     3.6071988818e-02     0.0000000000e+00
    2.320000     0.0000000000e+00     1.5193731428e-01     0.0000000000e+00
    2.350000     0.0000000000e+00     3.8937970394e-01     0.0000000000e+00
    2.380000    -0.0000000000e+00     7.4051926880e-01     0.0000000000e+00
    2.410000    -0.0000000000e+00     1.1215840098e+00     0.0000000000e+00
    2.440000    -0.0000000000e+00     1.4251612417e+00     0.0000000000e+00
    2.470000    -0.0000000000e+00     1.6442587561e+00     0.0000000000e+00
    2.500000    -0.0000000000e+00     2.0260916998e+00     0.0000000000e+00
    2.530000     0.0000000000e+00     3.2244958444e+00     0.0000000000e+00
    2.560000     0.0000000000e+00     6.2643693798e+00     0.0000000000e+00
    2.590000     0.0000000000e+00     1.1811860781e+01    -0.0000000000e+00
    2.620000     0.0000000000e+00     1.8884208229e+01    -0.0000000000e+00
    2.650000     0.0000000000e+00     2.4686010094e+01    -0.0000000000e+00
    2.680000     0.0000000000e+00     2.6666053609e+01     0.0000000000e+00
    2.710000     0.0000000000e+00     2.4670647385e+01     0.0000000000e+00
    2.740000     0.0000000000e+00     2.0463035525e+01     0.0000000000e+00
    2.770000     0.0000000000e+00     1.5637632952e+01     0.0000000000e+00
    2.800000     0.0000000000e+00     1.0872909074e+01     0.0000000000e+00
    2.830000     0.0000000000e+00     6.6677740581e+00     0.0000000000e+00
    2.860000     0.0000000000e+00     3.6446527370e+00     0.0000000000e+00
    2.890000     0.0000000000e+00     2.0559899762e+00     0.0000000000e+00
    2.920000     0.0000000000e+00     1.5373383863e+00     0.0000000000e+00
    2.950000     0.0000000000e+00     1.4387492064e+00     0.0000000000e+00
    2.980000     0.0000000000e+00     1.2798709776e+00     0.0000000000e+00
    3.010000     0.0000000000e+00     9.5906720879e-01     0.0000000000e+00
    3.040000     0.0000000000e+00     6.3501028061e-01     0.0000000000e+00
    3.070000     0.0000000000e+00     4.6221835135e-01     0.0000000000e+00
    3.100000     0.0000000000e+00     4.4697607383e-01     0.0000000000e+00
    3.130000     0.0000000000e+00     4.8204956329e-01     0.0000000000e+00
    3.160000     0.0000000000e+00     4.5769302610e-01     0.0000000000e+00
    3.190000    -0.0000000000e+00     3.5047386374e-01     0.0000000000e+00
    3.220000     0.0000000000e+00     2.2089620654e-01     0.0000000000e+00
    3.250000     0.0000000000e+00     1.4764664411e-01     0.0000000000e+00
    3.280000     0.0000000000e+00     1.9660978805e-01     0.0000000000e+00
    3.310000     0.0000000000e+00     4.2380211333e-01    -0.0000000000e+00
    3.340000     0.0000000000e+00     8.3400459466e-01    -0.0000000000e+00
    3.370000     0.0000000000e+00     1.3079585644e+00    -0.0000000000e+00
    3.400000     0.0000000000e+00     1.6174158112e+00    -0.0000000000e+00
    3.430000     0.0000000000e+00     1.5885412934e+00     0.0000000000e+00
    3.460000     0.0000000000e+00     1.2641485419e+00     0.0000000000e+00
    3.490000     0.0000000000e+00     8.5914600206e-01     0.0000000000e+00
    3.520000     0.0000000000e+00     5.7255079015e-01     0.0000000000e+00
    3.550000     0.0000000000e+00     4.9065961991e-01     0.0000000000e+00
