# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.250000     0.0000000000e+00     1.5943102581e-01     0.0000000000e+00
    1.300000     0.0000000000e+00     9.0541624562e-02     0.0000000000e+00
    1.350000     0.0000000000e+00     1.7536598125e-02     0.0000000000e+00
    1.400000     0.0000000000e+00    -1.2103073640e-02     0.0000000000e+00
    1.450000     0.0000000000e+00    -1.6255589326e-02     0.0000000000e+00
    1.500000     0.0000000000e+00     1.1923929552e-03     0.0000000000e+00
    1.550000     0.0000000000e+00     5.5295732358e-02     0.0000000000e+00
    1.600000     0.0000000000e+00     1.3147792944e-01    -0.0000000000e+00
    1.650000     0.0000000000e+00     2.9358162187e-01    -0.0000000000e+00
    1.700000     0.0000000000e+00     7.1062011326e-01     0.0000000000e+00
    1.750000     0.0000000000e+00     1.1454667923e+00     0.0000000000e+00
    1.800000     0.0000000000e+00     1.0670332388e+00     0.0000000000e+00
    1.850000     0.0000000000e+00     5.6782214067e-01     0.0000000000e+00
    1.900000     0.0000000000e+00     1.6464206046e-01     0.0000000000e+00
    1.950000     0.0000000000e+00     2.3203925572e-02     0.0000000000e+00
    2.000000    -0.0000000000e+00     3.3995306979e-02     0.0000000000e+00
    2.050000    -0.0000000000e+00     1.0705507164e-01     0.0000000000e+00
    2.100000    -0.0000000000e+00     1.4333025240e-01     0.0000000000e+00
    2.150000     0.0000000000e+00     8.5962596277e-02     0.0000000000e+00
    2.200000     0.0000000000e+00     1.5906383585e-02    -0.0000000000e+00
    2.250000     0.0000000000e+00    -5.8624609335e-03     0.0000000000e+00
    2.300000     0.0000000000e+00     6.3468607985e-02     0.0000000000e+00
    2.350000     0.0000000000e+00     3.8937970394e-01     0.0000000000e+00
    2.400000    -0.0000000000e+00     9.9851886702e-01     0.0000000000e+00
    2.450000    -0.0000000000e+00     1.5021267194e+00     0.0000000000e+00
    2.500000    -0.0000000000e+00     2.0260916998e+00     0.0000000000e+00
    2.550000     0.0000000000e+00     4.9836431937e+00     0.0000000000e+00
    2.600000     0.0000000000e+00     1.4111991814e+01    -0.0000000000e+00
    2.650000     0.0000000000e+00     2.4686010094e+01    -0.0000000000e+00
    2.700000     0.0000000000e+00     2.5684371859e+01     0.0000000000e+00
    2.750000     0.0000000000e+00     1.8875546226e+01     0.0000000000e+00
    2.800000     0.0000000000e+00     1.0872909074e+01     0.0000000000e+00
    2.850000     0.0000000000e+00     4.4921106543e+00     0.0000000000e+00
    2.900000     0.0000000000e+00     1.7953330147e+00     0.0000000000e+00
    2.950000     0.0000000000e+00     1.4387492064e+00     0.0000000000e+00
    3.000000     0.0000000000e+00     1.0765771413e+00     0.0000000000e+00
    3.050000     0.0000000000e+00     5.5698637088e-01     0.0000000000e+00
    3.100000     0.0000000000e+00     4.4697607383e-01     0.0000000000e+00
    3.150000     0.0000000000e+00     4.7607329477e-01     0.0000000000e+00
    3.200000    -0.0000000000e+00     3.0565870656e-01     0.0000000000e+00
    3.250000     0.0000000000e+00     1.4764664411e-01     0.0000000000e+00
    3.300000     0.0000000000e+00     3.2603135684e-01    -0.0000000000e+00
    3.350000     0.0000000000e+00     9.9495771149e-01    -0.0000000000e+00
    3.400000     0.0000000000e+00     1.6174158112e+00    -0.0000000000e+00
    3.450000     0.0000000000e+00     1.3933554144e+00     0.0000000000e+00
    3.500000     0.0000000000e+00     7.4385701333e-01     0.0000000000e+00
    3.550000     0.0000000000e+00     4.9065961991e-01     0.0000000000e+00
    3.600000     0.0000000000e+00     7.5189304927e-01     0.0000000000e+00
    3.650000     0.0000000000e+00     1.0240929920e+00     0.0000000000e+00
    3.700000     0.0000000000e+00     9.1215908174e-01     0.0000000000e+00
    3.750000     0.0000000000e+00     9.2053218385e-01    -0.0000000000e+00
    3.800000    -0.0000000000e+00     1.2102798003e+00     0.0000000000e+00
    3.850000    -0.0000000000e+00     1.3656580109e+00     0.0000000000e+00
    3.900000     0.0000000000e+00     1.7969003405e+00    -0.0000000000e+00
    3.950000     0.0000000000e+00     2.5849708985e+00     0.0000000000e+00
    4.000000     0.0000000000e+00     2.6506241804e+00     0.0000000000e+00
