# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    7.100000    -0.0000000000e+00     0.0000000000e+00     1.2116603854e-01
    7.150000    -0.0000000000e+00    -0.0000000000e+00     8.4813030690e-02
    7.200000     0.0000000000e+00    -0.0000000000e+00     5.6495928985e-02
    7.250000     0.0000000000e+00    -0.0000000000e+00     4.0807439455e-02
    7.300000     0.0000000000e+00    -0.0000000000e+00     2.5845284362e-02
    7.350000     0.0000000000e+00     0.0000000000e+00     1.8955818915e-02
    7.400000     0.0000000000e+00     0.0000000000e+00     2.1809228719e-02
    7.450000    -0.0000000000e+00     0.0000000000e+00     2.3179171545e-02
    7.500000    -0.0000000000e+00     0.0000000000e+00     2.2269979481e-02
    7.550000     0.0000000000e+00     0.0000000000e+00     2.4432830417e-02
    7.600000     0.0000000000e+00     0.0000000000e+00     2.4964313437e-02
    7.650000     0.0000000000e+00     0.0000000000e+00     2.6161502749e-02
    7.700000     0.0000000000e+00     0.0000000000e+00     2.9004543375e-02
    7.750000     0.0000000000e+00     0.0000000000e+00     2.7363216483e-02
    7.800000     0.0000000000e+00     0.0000000000e+00     2.0204963072e-02
    7.850000    -0.0000000000e+00     0.0000000000e+00     1.6779501475e-02
    7.900000    -0.0000000000e+00     0.0000000000e+00     2.2788528862e-02
    7.950000    -0.0000000000e+00     0.0000000000e+00     2.8455738661e-02
    8.000000     0.0000000000e+00    -0.0000000000e+00     1.9785903652e-02
    8.050000     0.0000000000e+00     0.0000000000e+00     5.3460179049e-03
    8.100000     0.0000000000e+00     0.0000000000e+00     4.5467997029e-03
    8.150000     0.0000000000e+00     0.0000000000e+00     1.4371581817e-02
    8.200000     0.0000000000e+00     0.0000000000e+00     2.1291967618e-02
    8.250000    -0.0000000000e+00     0.0000000000e+00     2.1003211362e-02
